SortID,,,,,,,,,,,,,,,,,,,
TestSite,,,,,,,,,,,,,,,,,,,
Specification,,20230816_Áp¨È_Flip-Chip_CW,,,,,,,,,,,,,,,,,
Operator,,0,,,,,,,,,,,,,,,,,
EquipmentNo,,1,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,
TestNo,PosX,PosY,BIN,Ith,SEf,Kink,Rollover,Rs,V1,V2,V3,P1,P2,P3,Ir,Imax,WP,HW,PCE
4383,111,89,0,1.650975395,2.800153,0.060359,13.813325,315.563446,5.743482,6.385416,6.125617,4.582619,9.158604,8.231036,0.272,5.5,945.299988,1.4,35.857506
4384,112,89,0,1.731534672,2.836065,0.058541,16.858351,317.659637,5.797967,6.446656,6.070274,4.647312,9.117666,7.6604,0.263,5.3,945.280029,1.52,35.358124
4385,113,89,0,1.201973355,2.816636,0.060354,16.386414,314.071503,5.788595,6.429752,6.071506,4.61923,9.068958,7.835026,0.265,5.4,945.26001,1.48,35.261696
4386,114,89,0,0.731393939,2.758292,0.054895,18.943768,324.317474,5.9034,6.564477,6.050683,4.60684,8.749536,6.604624,0.254,4.9,945.669983,1.76,33.321526
4387,115,89,0,0.899655103,0.896423,0.086188,44.870323,271.102966,5.92073,6.485946,5.936278,1.275275,2.446359,0.021884,0.238,4.2,945.219971,3.46,9.429463
4388,116,89,0,1.189664303,2.229597,0.07564,6.958812,305.34433,5.806638,6.43241,6.06382,3.345438,7.557536,6.555338,0.255,5.2,945.440002,1.68,29.372877
4389,117,89,0,1.310690963,2.291585,0.05887,15.477942,315.65744,5.888201,6.529986,6.065172,3.717478,7.506215,5.674884,0.285,4.8,945.700012,2.39,28.737484
4390,118,89,0,0.197565386,2.42229,0.076547,18.760139,311.511536,5.866992,6.502105,6.069708,3.669006,7.565036,5.59243,0.282,4.9,945.390015,1.44,29.086874
4391,119,89,0,0.890583922,2.518119,0.058739,17.604189,312.419952,5.842283,6.479715,6.058949,4.041786,7.922767,6.585524,0.265,5.2,945.340027,1.85,30.567575
4392,120,89,0,0.763855696,2.713082,0.054691,21.114197,332.164093,5.958122,6.639696,6.075423,4.615831,8.58343,4.951651,0.272,4.7,945.690002,2.15,32.318611
4393,121,89,0,0.398643706,2.571304,0.068843,19.605377,312.481415,5.884115,6.524088,6.035908,4.130303,7.901946,5.585607,0.275,4.7,945.280029,1.83,30.279882
4394,122,89,0,0.894179603,2.229474,0.064841,16.022722,310.61554,5.893191,6.525749,6.024942,3.579047,7.286305,5.364893,0.259,4.6,945.450012,2.57,27.913675
4395,123,89,0,1.471705266,2.698955,0.060572,17.029814,306.7005,5.85229,6.481685,6.052233,4.426848,8.600589,7.144368,0.265,5.2,945.320007,1.5,33.172661
4396,124,89,0,0.928577938,2.619238,0.052429,24.41445,343.899445,6.020039,6.719998,4.87639,4.462062,8.113271,0.004941,0.262,5.2,945.669983,2.24,30.183308
4397,125,89,0,0.56747398,2.701381,0.054346,20.271416,318.169373,5.945704,6.599398,6.046454,4.526422,8.519326,5.953879,0.264,4.7,945.320007,2.11,32.273121
4398,126,89,0,0.605380295,2.419089,0.998643,99.951607,374.458679,6.551818,5.163209,4.892142,4.408484,0.00554,0.001822,0.234,3.1,946.659973,2.76,0.026824
4399,127,89,0,0.636423072,2.473665,0.055903,36.443729,345.376434,6.123045,6.821881,5.42794,4.382718,7.204445,0.004981,0.201,3.9,945.330017,2.44,26.401974
4400,128,89,0,1.20609782,2.450475,0.050228,99.926064,374.963226,6.367554,7.095832,4.937671,4.246921,5.4891,0.002616,0.208,3.4,945.710022,2.54,19.339169
4401,129,89,0,0.787042969,2.342585,0.05233,99.921913,380.383148,6.284916,7.02649,5.011701,4.081272,5.544821,0.002361,0.216,3.4,945.349976,2.41,19.728273
4402,129,90,0,0.68361578,2.491436,0.059415,27.202648,330.519257,6.058975,6.737667,4.954401,4.296237,7.677347,0.004838,0.228,5,944.919983,2.49,28.486668
4403,128,90,0,0.99837654,2.396255,0.051053,64.533226,361.169373,6.230178,6.950322,6.28628,4.306331,6.498454,0.007443,0.226,3.7,945.590027,2.49,23.374653
4404,127,90,0,0.87048233,2.720495,0.061296,19.626383,306.960266,5.892892,6.529696,6.036809,4.564023,8.573297,6.402585,0.252,4.9,944.890015,1.7,32.824257
4405,126,90,0,1.361398101,2.664071,0.050714,29.087851,349.512543,6.057114,6.770083,4.889107,4.562886,7.975649,0.004417,0.245,5,945.349976,1.83,29.451815
4406,125,90,0,1.208497968,2.741456,0.055387,17.882429,310.125458,5.890426,6.527018,6.066923,4.5195,8.693677,6.745753,0.254,4.9,945.190002,1.6,33.298809
4407,124,90,0,1.40544741,2.726017,0.057047,17.146925,310.063477,5.870896,6.508462,6.047724,4.477631,8.717545,7.015134,0.265,5.1,945.200012,1.55,33.485424
4408,123,90,0,1.941343652,2.133162,0.063327,11.705203,302.301025,5.883528,6.506128,6.039958,3.457779,7.062654,5.42214,0.279,4.8,945.5,2.54,27.138468
4409,122,90,0,1.335332445,2.729422,0.05699,16.96295,307.965729,5.822959,6.454865,6.064738,4.545271,8.798822,7.332168,0.263,5.3,945.409973,1.53,34.078255
4410,121,90,0,0.999125774,2.298282,0.059419,16.57403,305.367065,5.840355,6.465376,6.013988,3.857091,7.446834,5.461283,0.281,5,945.390015,2.73,28.795052
4411,120,90,0,0.795745627,2.286141,0.059092,19.151426,309.935913,5.877281,6.508241,5.940208,3.658985,7.18819,0.032297,0.278,4.6,945.450012,1.51,27.611876
4412,119,90,0,0.457983384,2.473741,0.069158,16.169903,295.471252,5.848325,6.454424,6.035746,3.612794,7.780584,6.18892,0.258,5,945.059998,1.32,30.136633
4413,118,90,0,0.59687913,1.880494,0.072512,10.962075,298.149445,5.881047,6.488157,6.035792,2.580577,5.9391,4.304187,0.301,4.9,944.869995,1.36,22.884388
4414,117,90,0,1.202914348,2.21772,0.059234,17.973064,331.092499,5.903737,6.576462,6.067165,3.676844,7.141175,3.926144,0.293,4.6,945.619995,2.59,27.146717
4415,116,90,0,0.717896117,2.670653,0.054801,17.667196,326.287628,5.889338,6.563684,6.061661,4.454562,8.565458,5.568247,0.273,5,945.539978,1.72,32.624432
4416,115,90,0,1.446503492,2.742672,0.059101,16.744497,317.410217,5.845929,6.496715,6.061892,4.539611,8.840157,7.185521,0.252,5.2,945.52002,1.61,34.017796
4417,114,90,0,0.520577265,2.767452,0.065219,15.970475,317.552216,5.834727,6.487681,6.062883,4.561988,8.932176,7.254001,0.278,5.2,945.51001,1.57,34.419754
4418,113,90,0,0.485074454,2.136679,0.072919,14.618771,298.925629,5.860891,6.470638,6.045489,3.108166,6.697673,5.440677,0.263,4.8,944.98999,1.3,25.877176
4419,112,90,0,0.470896328,2.252183,0.083737,11.941444,302.279846,5.832373,6.451835,6.060477,3.227727,7.20446,6.109688,0.299,5.3,944.820007,1.28,27.916321
4420,111,90,0,1.088867266,2.805412,0.058976,15.626721,316.940247,5.806819,6.456701,6.09208,4.592586,9.101068,7.692406,0.263,5.4,945.299988,1.52,35.238846
4421,110,90,0,0.906037877,-0.000138,5493.673828,201107.7031,0.053192,9.999988,9.999994,9.999985,-0.000253,-0.000253,-0.000194,0.202,2.7,0,0,-0.000633
4422,109,90,0,0.820503218,2.236627,0.076095,9.795846,294.225098,5.443201,6.03667,6.309174,3.135511,7.108914,0.0177,0.301,5.4,944.539978,1.28,29.440546
4423,108,90,0,1.118338535,2.708841,0.059965,17.007748,319.309113,5.862266,6.517784,6.051666,4.503696,8.689179,6.721816,0.264,5.1,945.330017,1.71,33.328732
4424,107,90,0,1.456715389,2.783913,0.059933,16.284975,316.815277,5.795997,6.445849,6.092741,4.574864,8.93789,7.792925,0.295,5.4,945.200012,1.46,34.665295
4425,106,90,0,0.775350108,1.770173,0.069061,10.656832,304.821716,5.841537,6.460207,6.064858,2.567353,5.744261,4.140093,0.363,5,944.390015,1.41,22.229399
4426,105,90,0,0.390923203,2.808122,0.056572,15.691831,316.000885,5.774982,6.423384,6.088409,4.622614,9.051041,7.912418,0.298,5.4,945.22998,1.46,35.226913
4427,104,90,0,0.565399205,1.252743,0.098214,4.562133,279.885895,5.864085,6.45189,6.038873,1.776955,4.423297,4.193353,0.288,5.5,943.869995,1.33,17.139542
4428,103,90,0,1.365134421,2.762718,0.060702,12.849695,310.705933,5.731908,6.369497,6.090242,4.516327,9.130959,8.453785,0.319,5.7,944.969971,1.44,35.838619
4429,102,90,0,0.670925638,1.524855,0.075573,2.771726,311.235779,5.804018,6.436848,6.10205,2.421682,5.312978,4.773362,0.322,5.4,944.840027,1.57,20.635015
4430,101,90,0,1.160533686,2.754844,0.056901,12.898973,314.477417,5.731769,6.372372,6.10711,4.504324,9.001229,8.440468,0.344,5.6,944.830017,1.41,35.313496
4431,100,90,0,0.366791988,2.043735,0.065897,43.921734,311.536865,5.825233,6.455998,5.956733,3.456573,5.337062,0.02414,0.318,3.6,945.01001,2.32,20.667067
4432,99,90,0,1.877635658,2.810863,0.060151,12.969152,315.893463,5.526856,6.170135,6.391935,4.584218,9.331492,0.019093,0.264,5.7,944.289978,1.29,37.809109
4433,98,90,0,0.292180803,1.895706,0.07045,25.24737,318.135803,5.839683,6.492391,5.999506,3.284782,5.847145,2.612646,0.307,4.4,944.72998,1.34,22.515375
4434,97,90,0,1.084800545,2.493374,0.066854,14.107105,311.033844,5.781503,6.417594,6.081213,3.908761,8.124439,6.956533,0.27,5.3,944.640015,1.54,31.649084
4435,96,90,0,0.621150229,2.77436,0.062143,12.890712,315.547974,5.741254,6.390797,6.139824,4.514997,9.103642,8.204185,0.298,5.6,944.640015,1.45,35.612316
4436,95,90,0,0.422289673,2.738033,0.059809,12.638016,311.254883,5.729224,6.365844,6.092826,4.489707,9.038513,8.557492,0.289,5.6,944.5,1.43,35.496128
4437,94,90,0,0.399993732,0.000094,6768.990723,97.155449,0.004648,9.999974,9.999981,9.999979,-0.000135,-0.000371,-0.000179,0.221,3.7,0,0,-0.000927
4438,93,90,0,1.746949473,2.782502,0.060818,11.001658,290.710266,5.356197,5.943094,6.262744,4.568379,9.360065,0.025101,0.416,6,943.840027,1.32,39.373699
4439,92,90,0,1.903331107,2.777058,0.058474,16.366911,315.258759,5.793071,6.441053,6.091632,4.62904,8.941805,8.030424,0.322,5.4,944.27002,1.45,34.706299
4440,91,90,0,0.880207055,2.80843,0.057231,16.581987,315.048065,5.775661,6.421149,6.082508,4.637119,9.017647,8.150549,0.315,5.5,944.340027,1.46,35.109161
4441,90,90,0,0.721634752,2.792928,0.058042,14.395101,312.760803,5.738194,6.378677,6.096874,4.589348,9.071867,8.281622,0.273,5.6,944.159973,1.43,35.555439
4442,89,90,0,0.578280142,2.76633,0.066601,13.865249,314.019348,5.750996,6.394427,6.089356,4.555881,9.084925,8.337481,0.312,5.5,944.080017,1.49,35.518917
4443,88,90,0,0.764900889,2.753733,0.059146,12.387113,313.127472,5.711662,6.349029,6.112952,4.502897,9.090237,8.646044,0.312,5.6,943.969971,1.41,35.793804
4444,87,90,0,1.329597115,2.700254,0.06412,10.679636,311.184662,5.701519,6.338732,6.128149,4.421213,9.054444,8.654383,0.293,5.7,943.929993,1.4,35.710789
4445,86,90,0,0.225929592,2.696215,0.059523,13.378347,315.931671,5.73651,6.383162,6.106174,4.420418,8.90434,8.244349,0.264,5.7,943.859985,1.44,34.874325
4446,85,90,0,1.066478499,2.706871,0.056986,12.144425,311.564728,5.695407,6.332245,6.12474,4.447509,8.997933,8.783547,0.258,5.9,943.76001,1.39,35.524261
4447,84,90,0,0.244839508,2.707057,0.057363,12.142535,309.36734,5.6871,6.319679,6.124272,4.461856,8.980506,8.959914,0.298,5.7,943.710022,1.39,35.525955
4448,83,90,0,1.140936165,0.000007,6474.687012,255063.4219,0.023239,10.000022,9.999995,10.000015,-0.000444,-0.000238,-0.00014,0.236,2.3,0,0,-0.000596
4449,82,90,0,1.552840174,2.814619,0.05783,10.779214,281.981049,5.303605,5.873777,6.209367,4.559746,9.428226,0.028736,0.309,6.2,943.130005,1.3,40.12846
4450,81,90,0,1.238169136,2.805252,0.056844,14.596154,311.309113,5.710379,6.346807,6.114995,4.603048,9.104549,8.694344,0.286,5.8,943.590027,1.4,35.862713
4451,80,90,0,1.894682467,2.782228,0.054557,15.029325,315.683777,5.744735,6.391394,6.112258,4.604868,9.047705,8.316978,0.356,5.5,943.599976,1.42,35.39019
4452,79,90,0,0.725758938,2.795267,0.061745,13.650064,310.030426,5.705837,6.34112,6.11777,4.59289,9.09988,8.800603,0.287,5.7,943.349976,1.42,35.876472
4453,78,90,0,1.537161988,2.806405,0.055782,17.007193,318.451843,5.815206,6.466136,6.081919,4.654086,9.006184,7.670686,0.298,5.3,943.599976,1.51,34.820576
4454,77,90,0,1.455641137,0.000067,5297.471191,12262.66406,0.034084,10.000027,10.00001,9.999963,-0.000209,-0.000022,-0.000145,0.225,7.2,0,0,-0.000056
4455,76,90,0,0.449538518,2.83308,0.063297,7.891799,282.718506,5.297882,5.867255,6.143081,4.626975,9.690548,0.027044,0.313,6.3,943.159973,1.74,41.29081
4456,75,90,0,0.982814099,2.766725,0.057007,15.21189,316.060272,5.784215,6.430442,6.104973,4.590413,9.065044,8.06935,0.298,5.3,943.340027,1.41,35.242695
4457,74,90,0,1.035565883,2.757668,0.059584,12.544074,309.079163,5.69098,6.323541,6.128506,4.535206,9.087809,9.054057,0.274,5.8,943.109985,1.42,35.928482
4458,73,90,0,0.469663551,2.746738,0.056933,14.536937,314.645752,5.765728,6.409953,6.104498,4.53965,8.950006,8.23887,0.254,5.5,943.169983,1.47,34.906677
4459,72,90,0,1.697459943,2.634158,0.058358,13.738093,319.758423,5.733476,6.389365,6.121838,4.360135,8.661352,7.77512,0.236,5.4,943.099976,1.47,33.889725
4460,71,90,0,1.62853419,2.74675,0.060844,12.369348,310.450806,5.693683,6.327476,6.134057,4.541406,9.161414,8.909225,0.255,5.8,942.97998,1.43,36.196953
4461,70,90,0,0.444487979,2.756205,0.068316,12.081517,310.044373,5.691537,6.323995,6.130321,4.51614,9.117509,8.977489,0.299,5.7,943.049988,1.4,36.043312
4462,69,90,0,0.468033555,2.764838,0.057988,12.187095,312.581604,5.690348,6.327248,6.155428,4.555072,9.132052,8.914311,0.3,5.8,942.76001,1.4,36.082245
4463,68,90,0,1.425270013,2.766783,0.068934,13.612436,320.453003,5.739221,6.394963,6.214217,4.559673,9.077169,8.100247,0.31,5.6,943,1.39,35.485622
4464,67,90,0,1.035258136,2.770279,0.060331,13.014383,308.745026,5.704858,6.33538,6.132324,4.547194,8.983145,8.809069,0.292,5.7,942.72998,1.42,35.448326
4465,66,90,0,0.220158051,2.768662,0.057719,14.249303,310.909393,5.700151,6.33524,6.149939,4.573839,9.03066,8.746347,0.264,5.7,942.690002,1.42,35.636612
4466,65,90,0,0.560900783,2.748514,0.060481,14.974265,313.285492,5.757905,6.401824,6.105305,4.578489,8.866796,8.073465,0.33,5.5,942.789978,1.47,34.626057
4467,64,90,0,1.098921351,2.714887,0.056792,14.13015,314.569855,5.745903,6.390613,6.119321,4.538483,8.922984,8.222938,0.235,5.4,942.669983,1.46,34.906605
4468,63,90,0,1.242524906,-0.000183,5150.319336,976108.125,0.023756,9.99999,9.999967,9.999991,-0.000444,-0.000243,-0.00039,0.185,6.7,0,0,-0.000608
4469,62,90,0,0.818696697,2.733199,0.059296,8.167656,273.627808,5.251703,5.801138,6.099841,4.4893,9.366608,0.028819,0.252,6.3,942.619995,1.8,40.365387
4470,61,90,0,1.078141553,2.680134,0.062873,13.264846,313.641296,5.752553,6.392065,6.114527,4.459698,8.789154,8.270992,0.242,5.7,942.799988,1.43,34.375256
4471,60,90,0,1.479811536,0.391008,0.006458,40.258018,-0.105352,9.999974,10.000006,9.999976,2.260104,2.238301,2.231768,0.266,1.3,941.669983,2.1,5.59575
4472,59,90,0,1.122638522,2.706743,0.059718,12.220366,311.139191,5.722471,6.36073,6.134426,4.464196,9.002412,8.635214,0.283,5.7,942.570007,1.36,35.382778
4473,58,90,0,0.92284314,2.716296,0.057011,11.950584,311.117523,5.695456,6.329238,6.142941,4.489859,9.076679,8.847147,0.303,5.8,942.460022,1.46,35.852177
4474,57,90,0,0.713607779,2.744837,0.058731,11.377468,308.873627,5.672571,6.302159,6.154524,4.506178,9.181054,9.256234,0.301,5.9,942.369995,1.42,36.420273
4475,56,90,0,1.446755272,2.79166,0.052469,13.686954,311.134552,5.708335,6.343027,6.140049,4.579646,9.134765,8.853057,0.3,5.7,942.359985,1.39,36.003178
4476,55,90,0,0.921087179,2.809914,0.054655,12.167814,307.77002,5.671861,6.30223,6.155391,4.587205,9.274682,9.240135,0.268,5.8,942.369995,1.42,36.791267
4477,54,90,0,1.117409261,2.767827,0.056041,12.714303,307.944061,5.665825,6.294342,6.152212,4.577655,9.186915,9.184203,0.416,5.9,942.380005,1.36,36.488789
4478,53,90,0,0.760051015,2.772486,0.059821,11.800971,307.576874,5.650975,6.278754,6.171008,4.566456,9.21692,9.446482,0.269,6,942.309998,1.42,36.698841
4479,52,90,0,1.733430303,2.762743,0.058218,12.131639,307.233459,5.646209,6.272418,6.16233,4.562213,9.181716,9.248524,0.272,6,942.309998,1.37,36.595604
4480,51,90,0,1.002968278,2.733072,0.058377,12.500616,307.996735,5.67729,6.307858,6.16635,4.540739,9.076797,9.129379,0.289,5.9,942.299988,1.36,35.974163
4481,50,90,0,1.472624998,2.731728,0.056469,13.82917,320.208221,5.726733,6.384218,6.24932,4.533063,8.974236,8.126671,0.292,5.7,942.400024,1.36,35.142273
4482,49,90,0,1.026177319,2.709127,0.060596,11.717533,307.389404,5.668767,6.299071,6.163764,4.472171,9.030454,9.204515,0.289,5.9,942.440002,1.39,35.84042
4483,48,90,0,0.942142164,2.663448,0.056787,10.933198,308.829742,5.672739,6.303423,6.157553,4.424891,8.946307,8.884748,0.26,5.9,942.369995,1.35,35.481941
4484,47,90,0,0.151805999,2.710314,0.055266,11.208973,306.322449,5.659218,6.284759,6.164149,4.449392,9.016715,9.178317,0.231,6,942.119995,1.39,35.867386
4485,46,90,0,0.849146822,2.709795,0.057766,10.624275,311.459381,5.680349,6.317258,6.198503,4.453233,9.072583,9.12053,0.225,5.9,942.26001,1.39,35.903961
4486,45,90,0,0.439565264,2.727121,0.057657,11.691867,315.247406,5.69376,6.336636,6.219593,4.483115,9.093283,8.705263,0.236,5.7,942.299988,1.39,35.875828
4487,44,90,0,0.604516894,-0.000106,5297.471191,451266.0625,-0.02892,10.000003,10.000032,10.000028,-0.000228,-0.000022,-0.000685,0.192,8.4,0,0,-0.000056
4488,43,90,0,0.442714792,2.787054,0.062605,7.056633,276.598297,5.257506,5.820294,6.141672,4.59675,9.629048,0.028908,0.249,6.3,942.380005,2.21,41.359802
4489,42,90,0,1.1035461,2.757357,0.060694,13.179746,350.822723,5.759521,6.474287,6.401817,4.547234,9.142437,0.025278,0.254,5.7,942.27002,1.44,35.302872
4490,41,90,0,0.908172711,2.730254,0.058343,12.690872,316.77655,5.688051,6.335666,6.250742,4.539115,9.084989,8.797306,0.285,5.8,942.280029,1.36,35.848595
4491,40,90,0,0.117764001,2.700469,0.060549,11.630933,312.831024,5.661384,6.2991,6.220548,4.456323,9.036816,9.124739,0.277,5.9,942.109985,1.4,35.865501
4492,39,90,0,1.54476645,2.5766,0.057406,13.663013,319.906128,5.705444,6.357216,6.176302,4.248255,8.50519,7.910088,0.223,5.5,942.359985,1.45,33.446995
4493,38,90,0,1.321475717,2.612558,0.057995,11.396961,315.637817,5.683087,6.32722,6.210134,4.326216,8.83614,8.644092,0.228,5.9,942.070007,1.37,34.9132
4494,37,90,0,1.604562509,2.683857,0.056679,11.956639,317.461334,5.693871,6.340967,6.188915,4.393332,8.931887,8.347959,0.231,5.7,942.27002,1.44,35.215004
4495,36,90,0,1.368963411,2.67804,0.059895,12.168628,318.392456,5.704778,6.353159,6.169765,4.402745,8.940735,7.885097,0.258,5.5,942.359985,1.58,35.182243
4496,35,90,0,0.609868488,-0.000365,5935.129395,1873735.125,0.034084,9.999974,9.999989,9.999989,-0.000675,-0.000327,-0.000194,0.21,8.6,0,0,-0.000816
4497,34,90,0,1.173511463,2.710886,0.054231,15.165991,352.355988,5.788603,6.505878,6.2985,4.474732,8.806293,0.021457,0.284,5.5,942.440002,1.43,33.839756
4498,33,90,0,1.467160014,2.593641,0.062702,18.092831,338.814697,5.79155,6.484151,6.135372,4.321547,8.29541,5.210026,0.272,5,942.530029,1.92,31.983406
4499,32,90,0,0.510000879,2.658855,0.056447,12.826216,313.065491,5.701797,6.34053,6.175189,4.406959,8.833903,8.178586,0.262,5.7,942.330017,1.42,34.831093
4500,31,90,0,1.112487447,2.568985,0.057896,14.991859,326.242706,5.751591,6.421171,6.126575,4.216382,8.302812,6.519487,0.238,5.4,942.429993,1.53,32.325928
4501,31,91,0,1.030397656,2.624727,0.061,10.810409,307.070251,5.665985,6.294863,6.170914,4.311128,8.826368,8.750531,0.235,6,942.219971,1.35,35.053856
4502,32,91,0,1.18750651,2.631019,0.05816,14.234531,321.457977,5.726814,6.384682,6.162025,4.339136,8.63798,7.230462,0.258,5.4,942.289978,1.56,33.823063
4503,33,91,0,0.257814144,2.676008,0.057604,15.05245,322.444366,5.730522,6.388877,6.167579,4.425804,8.717398,7.294291,0.266,5.6,942.340027,1.42,34.111622
4504,34,91,0,1.227147893,2.71738,0.060766,13.327098,312.604309,5.672336,6.309968,6.186805,4.476826,8.985411,8.558562,0.257,6,942.309998,1.41,35.60006
4505,35,91,0,1.371508495,2.675526,0.056303,12.170887,322.34729,5.704504,6.361238,6.156088,4.388952,8.856766,7.518453,0.262,5.5,942.320007,1.67,34.807552
4506,36,91,0,0.695108111,2.640928,0.062569,13.768697,325.580658,5.756745,6.425324,6.154172,4.356726,8.684868,7.09514,0.262,5.5,942.400024,1.47,33.791553
4507,37,91,0,0.621326717,2.70259,0.061033,10.781687,307.67395,5.671133,6.302041,6.173738,4.422292,9.042432,8.892822,0.24,5.9,942.320007,1.39,35.871048
4508,38,91,0,1.016709125,2.579952,0.062553,10.955255,315.288727,5.676647,6.320157,6.152894,4.264501,8.685804,8.087617,0.232,5.6,942.369995,1.43,34.357548
4509,39,91,0,1.652563745,2.521785,0.061197,12.199489,319.699554,5.712042,6.365234,6.202975,4.170794,8.43644,7.841206,0.232,5.7,942.400024,1.44,33.134842
4510,40,91,0,1.468451667,2.702079,0.057332,12.257489,314.402527,5.689363,6.332973,6.217141,4.498531,9.039102,8.759493,0.27,5.8,942.320007,1.42,35.682697
4511,41,91,0,1.49074474,2.713687,0.056741,15.585377,321.367096,5.723897,6.379891,6.158264,4.488991,8.799214,7.246982,0.275,5.6,942.349976,1.48,34.48027
4512,42,91,0,0.667219606,0.000155,5837.02832,124.957207,0.000516,9.999989,10.000001,9.999965,0.000066,0.000012,-0.000228,0.204,9.6,0,0,0.00003
4513,43,91,0,0.497869832,2.767516,0.064813,5.502943,266.825897,5.234249,5.779432,6.14032,4.550883,9.64859,9.206379,0.267,6.4,942.450012,2.37,41.736755
4514,44,91,0,1.005828667,2.747758,0.057181,12.85624,314.3638,5.697649,6.338334,6.17823,4.521477,9.14046,8.823774,0.24,5.7,942.289978,1.42,36.052296
4515,45,91,0,1.458862337,0.000011,4659.8125,465.817688,-0.024272,9.999957,10.000004,9.99996,-0.000209,0.0001,-0.00043,0.183,0.8,0,0,0.00025
4516,46,91,0,1.539816569,2.713235,0.059021,6.480494,290.455658,5.321517,5.907791,6.212672,4.492361,9.418763,0.025278,0.264,6.1,942.169983,1.53,39.857388
4517,47,91,0,1.550806611,2.683359,0.056317,11.070643,307.338287,5.662608,6.291482,6.172169,4.433603,9.064525,9.165897,0.232,6,942.280029,1.39,36.019032
4518,48,91,0,1.640554383,2.697617,0.05621,11.823313,309.747955,5.691088,6.325428,6.156292,4.474957,8.99448,8.966707,0.249,5.8,942.390015,1.34,35.548897
4519,49,91,0,0.924478735,0.000358,5886.079102,98.122253,-0.019624,9.999994,10.00001,9.999976,0.000331,-0.000047,-0.000076,0.218,2,0,0,-0.000117
4520,50,91,0,0.889397939,2.751268,0.061294,6.416662,268.53476,5.233024,5.777648,6.05256,4.553184,9.561049,0.036594,0.293,6.5,942.5,2.31,41.370853
4521,51,91,0,1.536001687,2.749138,0.055825,12.338038,308.247192,5.67224,6.303953,6.168191,4.551736,9.103103,9.055685,0.332,5.9,942.349976,1.34,36.100773
4522,52,91,0,0.563321846,2.739036,0.059495,11.721311,311.598816,5.636443,6.270949,6.219642,4.500655,9.1327,9.33653,0.337,6,942.289978,1.39,36.408764
4523,53,91,0,1.078094917,2.810608,0.054011,13.808671,308.688751,5.682662,6.313331,6.15816,4.628251,9.183295,9.047171,0.271,5.9,942.419983,1.4,36.3647
4524,54,91,0,1.277087955,0.000198,6229.433594,128.753128,0.012394,10.000008,9.999981,10.000001,-0.000179,-0.000057,-0.000582,0.218,5.3,0,0,-0.000142
4525,55,91,0,1.702229104,2.836771,0.060996,7.669313,262.531799,5.209413,5.738695,6.136621,4.656734,9.642891,7.13571,0.317,6.5,942.440002,1.82,42.008205
4526,56,91,0,0.590721427,2.717573,0.056589,10.782506,320.400848,5.673399,6.330435,6.315323,4.473633,9.173991,8.74829,0.288,5.8,942.369995,1.43,36.229702
4527,57,91,0,1.202054424,2.719529,0.057843,11.865511,309.904419,5.699881,6.332601,6.121421,4.498276,9.088677,8.844748,0.289,5.8,942.460022,1.42,35.880508
4528,58,91,0,1.502953228,2.715414,0.057788,11.988003,309.717468,5.706504,6.341339,6.138566,4.489564,9.036433,8.847706,0.288,5.7,942.440002,1.42,35.625103
4529,59,91,0,1.258028502,2.703049,0.058637,11.800522,309.341003,5.700114,6.333849,6.145413,4.479229,9.056892,8.805233,0.257,5.7,942.609985,1.41,35.747982
4530,60,91,0,0.597468177,2.705253,0.061303,12.413254,309.247009,5.687765,6.318681,6.140798,4.459742,8.980334,8.930999,0.262,5.8,942.469971,1.41,35.530888
4531,61,91,0,1.279977547,2.679987,0.059472,12.243735,322.44696,5.722319,6.382391,6.268686,4.428197,8.897017,8.058971,0.25,5.9,942.679993,1.38,34.849857
4532,62,91,0,1.767926782,2.67547,0.055087,15.381891,317.107056,5.764307,6.413385,6.142985,4.432038,8.631505,7.714498,0.224,5.5,942.76001,1.42,33.646446
4533,63,91,0,1.684693128,2.732002,0.057203,14.379883,319.61795,5.73946,6.391406,6.21605,4.534147,8.874365,7.99757,0.247,5.8,942.719971,1.4,34.712101
4534,64,91,0,0.712680381,2.632876,0.059294,15.567226,315.249481,5.789012,6.437686,6.099933,4.414188,8.555943,7.640942,0.225,5.4,942.859985,1.49,33.226002
4535,65,91,0,0.827451073,2.77292,0.058773,15.3245,310.297943,5.746378,6.386313,6.112282,4.60269,8.926241,8.410581,0.211,5.6,942.73999,1.42,34.942856
4536,66,91,0,1.653518228,2.764585,0.054742,13.334373,316.965057,5.714605,6.362066,6.188928,4.598393,9.119717,8.616795,0.269,5.7,942.710022,1.46,35.836296
4537,67,91,0,1.239999214,2.770863,0.059528,12.881877,307.938873,5.687467,6.31881,6.136147,4.570866,9.089177,8.947966,0.297,5.8,942.76001,1.44,35.9608
4538,68,91,0,1.109118119,2.753399,0.067057,12.765596,311.146423,5.72167,6.35859,6.129336,4.539797,9.098992,8.77513,0.295,5.8,942.900024,1.4,35.77441
4539,69,91,0,1.482885035,2.780989,0.059524,13.846617,309.585266,5.726317,6.36196,6.109621,4.582609,9.061891,8.583391,0.291,5.7,943.049988,1.39,35.609661
4540,70,91,0,0.764663726,2.772712,0.057414,12.580059,307.548462,5.678128,6.306061,6.129376,4.53812,9.159364,9.024798,0.257,5.7,943.01001,1.4,36.311749
